ticker,company,sector,quarter,year,prior_year,mda_score,risk_score,combined_score,mda_zscore,risk_zscore,combined_zscore,status,error,date_run,extraction_status
AOS,A. O. Smith,Industrials,Q3,2025,2024,0.677205,,0.677205,-0.143662,,0.004623,ok,,2026-04-03T22:39:13Z,partial
ABT,Abbott Laboratories,Health Care,Q3,2025,2024,0.665429,,0.665429,-0.194022,,-0.05292,ok,,2026-04-03T22:39:13Z,partial
MMM,3M,Industrials,Q3,2025,2024,0.687142,0.933731,0.785778,-0.101167,1.009454,0.535162,ok,,2026-04-03T22:39:13Z,complete
ABBV,AbbVie,Health Care,Q3,2025,2024,0.958163,,0.958163,1.057856,,1.377516,ok,,2026-04-03T22:39:19Z,partial
ACN,Accenture,Information Technology,Q1,2026,2025,0.932443,0.087649,0.594525,0.947864,-1.738302,-0.39939,ok,,2026-04-03T22:39:22Z,complete
AOS,A. O. Smith,Industrials,Q1,2025,2024,0.658703,,0.658703,-0.222786,,-0.085786,ok,,2026-04-03T23:39:25Z,partial
ABT,Abbott Laboratories,Health Care,Q1,2025,2024,0.641469,,0.641469,-0.296487,,-0.17,ok,,2026-04-03T23:39:25Z,partial
MMM,3M,Industrials,Q1,2025,2024,0.687414,0.043408,0.429812,-0.100003,-1.881981,-1.204255,ok,,2026-04-03T23:39:25Z,complete
ABBV,AbbVie,Health Care,Q1,2025,2024,0.927273,,0.927273,0.925755,,1.226573,ok,,2026-04-03T23:39:29Z,partial
ACN,Accenture,Information Technology,Q1,2025,2024,0.949323,0.090286,0.605709,1.020051,-1.729738,-0.34474,ok,,2026-04-03T23:39:31Z,complete
ADBE,Adobe Inc.,Information Technology,Q1,2025,2024,0.412035,0.922304,0.616142,-1.277663,0.972343,-0.293759,ok,,2026-04-03T23:39:33Z,complete
AMD,Advanced Micro Devices,Information Technology,Q1,2025,2024,0.791625,0.92146,0.843559,0.345655,0.969602,0.817507,ok,,2026-04-03T23:39:34Z,complete
AES,AES Corporation,Utilities,Q1,2025,2024,0.746937,0.744911,0.746127,0.154547,0.396237,0.341408,ok,,2026-04-03T23:39:38Z,complete
AFL,Aflac,Financials,Q1,2025,2024,0.932194,0.932194,0.932194,0.946799,1.004462,1.250619,ok,,2026-04-03T23:39:38Z,complete
A,Agilent Technologies,Health Care,Q1,2025,2024,0.939808,0.904844,0.925823,0.97936,0.91564,1.219487,ok,,2026-04-03T23:39:40Z,complete
ABNB,Airbnb,Consumer Discretionary,Q1,2025,2024,0.128904,0.938651,0.452803,-2.488473,1.025432,-1.09191,ok,,2026-04-03T23:39:48Z,complete
APD,Air Products,Materials,Q1,2025,2024,0.97886,0.56534,0.813452,1.146367,-0.186942,0.67039,ok,,2026-04-03T23:39:46Z,complete
AKAM,Akamai Technologies,Information Technology,Q1,2025,2024,0.220518,0.917745,0.499409,-2.096686,0.957537,-0.864171,ok,,2026-04-03T23:39:49Z,complete
ALB,Albemarle Corporation,Materials,Q1,2025,2024,0.778309,0.954751,0.848886,0.288709,1.077719,0.843537,ok,,2026-04-03T23:39:53Z,complete
ARE,Alexandria Real Estate Equities,Real Estate,Q1,2025,2024,0.31581,0.29837,0.308834,-1.689169,-1.05396,-1.79541,ok,,2026-04-03T23:39:53Z,complete
ALGN,Align Technology,Health Care,Q1,2025,2024,0.749801,0.811934,0.774654,0.166795,0.613903,0.480805,ok,,2026-04-03T23:39:55Z,complete
ALLE,Allegion,Industrials,Q1,2025,2024,0.808774,0.805641,0.807521,0.418993,0.593466,0.641408,ok,,2026-04-03T23:40:00Z,complete
LNT,Alliant Energy,Utilities,Q1,2025,2024,0.868597,0.799829,0.84109,0.674826,0.57459,0.805442,ok,,2026-04-03T23:40:03Z,complete
GOOGL,Alphabet Inc.(Class A),Communication Services,Q1,2025,2024,0.744557,0.3029,0.567894,0.144369,-1.039248,-0.529521,ok,,2026-04-03T23:40:06Z,complete
ALL,Allstate,Financials,Q1,2025,2024,0.741238,0.58469,0.678619,0.130175,-0.1241,0.011533,ok,,2026-04-03T23:40:03Z,complete
GOOG,Alphabet Inc.(Class C),Communication Services,Q1,2025,2024,0.744557,0.3029,0.567894,0.144369,-1.039248,-0.529521,ok,,2026-04-03T23:40:10Z,complete
MO,Altria,Consumer Staples,Q1,2025,2024,0.802691,0.839447,0.817393,0.392979,0.703255,0.689648,ok,,2026-04-03T23:40:12Z,complete
AMZN,Amazon,Consumer Discretionary,Q1,2025,2024,0.235397,0.985253,0.53534,-2.033056,1.176778,-0.688596,ok,,2026-04-03T23:40:13Z,complete
AMCR,Amcor,Materials,Q1,2025,2024,0.535817,0.367534,0.468504,-0.748309,-0.829341,-1.015188,ok,,2026-04-03T23:40:15Z,complete
AEE,Ameren,Utilities,Q1,2025,2024,0.069394,0.82476,0.37154,-2.742968,0.655557,-1.488999,ok,,2026-04-03T23:40:18Z,complete
AXP,American Express,Financials,Q1,2025,2024,0.765606,0.730477,0.751554,0.234385,0.349361,0.367927,ok,,2026-04-03T23:40:20Z,complete
AEP,American Electric Power,Utilities,Q1,2025,2024,0.204241,0.183039,0.195761,-2.166295,-1.428512,-2.347938,ok,,2026-04-03T23:40:19Z,complete
AIG,American International Group,Financials,Q1,2025,2024,0.845227,0.125224,0.557226,0.574884,-1.616273,-0.58165,ok,,2026-04-03T23:40:25Z,complete
AMT,American Tower,Real Estate,Q1,2025,2024,0.190708,0.762606,0.419468,-2.224168,0.453704,-1.2548,ok,,2026-04-03T23:40:28Z,complete
AWK,American Water Works,Utilities,Q1,2025,2024,0.984093,0.971305,0.978978,1.168745,1.13148,1.479228,ok,,2026-04-03T23:40:28Z,complete
AME,Ametek,Industrials,Q1,2025,2024,0.682724,,0.682724,-0.12006,,0.031592,ok,,2026-04-03T23:40:34Z,partial
AMP,Ameriprise Financial,Financials,Q1,2025,2024,0.907139,0.74645,0.842863,0.839651,0.401235,0.814106,ok,,2026-04-03T23:40:34Z,complete
AMGN,Amgen,Health Care,Q1,2025,2024,0.095411,0.524833,0.26718,-2.631706,-0.318493,-1.998951,ok,,2026-04-03T23:40:34Z,complete
APH,Amphenol,Information Technology,Q1,2025,2024,0.808227,0.701956,0.765719,0.416654,0.256736,0.437144,ok,,2026-04-03T23:40:39Z,complete
ADI,Analog Devices,Information Technology,Q1,2025,2024,0.717093,0.611354,0.674797,0.026919,-0.037506,-0.007143,ok,,2026-04-03T23:40:40Z,complete
AON,Aon plc,Financials,Q1,2025,2024,0.892926,0.970967,0.924143,0.778869,1.130382,1.211278,ok,,2026-04-03T23:40:42Z,complete
APA,APA Corporation,Energy,Q1,2025,2024,0.674333,0.833996,0.738198,-0.155944,0.685552,0.302664,ok,,2026-04-03T23:40:44Z,complete
APO,Apollo Global Management,Financials,Q1,2025,2024,0.140889,0.298452,0.203914,-2.43722,-1.053694,-2.308098,ok,,2026-04-03T23:40:45Z,complete
AAPL,Apple Inc.,Information Technology,Q1,2025,2024,0.717827,0.284283,0.544409,0.030058,-1.099709,-0.64428,ok,,2026-04-03T23:40:47Z,complete
AMAT,Applied Materials,Information Technology,Q1,2025,2024,0.899909,0.908638,0.903401,0.808732,0.927961,1.109923,ok,,2026-04-03T23:40:49Z,complete
APP,AppLovin,Information Technology,Q1,2025,2024,0.736583,0.896841,0.800687,0.110268,0.889649,0.608014,ok,,2026-04-03T23:40:52Z,complete
APTV,Aptiv,Consumer Discretionary,Q1,2025,2024,0.972988,0.08652,0.618401,1.121255,-1.741969,-0.282721,ok,,2026-04-03T23:40:53Z,complete
ACGL,Arch Capital Group,Financials,Q1,2025,2024,1.0,0.689094,0.875637,1.236772,0.214965,0.974255,ok,,2026-04-03T23:40:55Z,complete
ADM,Archer Daniels Midland,Consumer Staples,Q1,2025,2024,0.110778,0.359935,0.210441,-2.565989,-0.85402,-2.276204,ok,,2026-04-03T23:40:57Z,complete
ARES,Ares Management,Financials,Q1,2025,2024,0.643545,0.943917,0.763694,-0.287609,1.042534,0.427249,ok,,2026-04-03T23:40:59Z,complete
ANET,Arista Networks,Information Technology,Q1,2025,2024,0.735153,0.924899,0.811052,0.104153,0.980771,0.658662,ok,,2026-04-03T23:41:01Z,complete
AJG,Arthur J. Gallagher & Co.,Financials,Q1,2025,2024,0.79159,0.715453,0.761135,0.345506,0.300569,0.414745,ok,,2026-04-03T23:41:03Z,complete
AIZ,Assurant,Financials,Q1,2025,2024,0.772963,0.751979,0.764569,0.265847,0.419192,0.431525,ok,,2026-04-03T23:41:05Z,complete
ATO,Atmos Energy,Utilities,Q1,2025,2024,0.850024,0.563968,0.735602,0.595399,-0.191397,0.289978,ok,,2026-04-03T23:41:10Z,complete
T,AT&T,Communication Services,Q1,2025,2024,0.164416,0.620537,0.346864,-2.336606,-0.007683,-1.609578,ok,,2026-04-03T23:41:07Z,complete
ADSK,Autodesk,Information Technology,Q1,2025,2024,0.86392,0.927443,0.889329,0.654825,0.989033,1.041161,ok,,2026-04-03T23:41:11Z,complete
ADP,Automatic Data Processing,Industrials,Q1,2025,2024,0.810002,0.799865,0.805947,0.424245,0.574707,0.633717,ok,,2026-04-03T23:41:14Z,complete
AZO,AutoZone,Consumer Discretionary,Q1,2025,2024,0.755166,0.352768,0.594206,0.189738,-0.877296,-0.400949,ok,,2026-04-03T23:41:15Z,complete
AVB,AvalonBay Communities,Real Estate,Q1,2025,2024,0.787543,0.692649,0.749585,0.328199,0.22651,0.358306,ok,,2026-04-03T23:41:16Z,complete
AVY,Avery Dennison,Materials,Q1,2025,2024,0.755072,0.118789,0.500558,0.189336,-1.637171,-0.858557,ok,,2026-04-03T23:41:19Z,complete
AXON,Axon Enterprise,Industrials,Q1,2025,2024,0.494098,0.484116,0.490105,-0.92672,-0.450727,-0.909635,ok,,2026-04-03T23:41:20Z,complete
BKR,Baker Hughes,Energy,Q1,2025,2024,0.796604,0.747237,0.776857,0.366948,0.403791,0.49157,ok,,2026-04-03T23:41:21Z,complete
BALL,Ball Corporation,Materials,Q1,2025,2024,0.706092,0.347958,0.562838,-0.020127,-0.892917,-0.554227,ok,,2026-04-03T23:41:24Z,complete
BAX,Baxter International,Health Care,Q1,2025,2024,0.909467,0.911135,0.910135,0.849607,0.93607,1.142828,ok,,2026-04-03T23:41:25Z,complete
BDX,Becton Dickinson,Health Care,Q1,2025,2024,0.93167,0.871717,0.907689,0.944558,0.808056,1.130876,ok,,2026-04-03T23:41:29Z,complete
