ticker,company,sector,quarter,year,prior_year,mda_score,risk_score,combined_score,mda_zscore,risk_zscore,combined_zscore,status,error,date_run,extraction_status
AOS,A. O. Smith,Industrials,Q2,2025,2024,0.66171,,0.66171,-0.176715,,-0.023544,ok,,2026-04-07T00:12:03Z,partial
ABT,Abbott Laboratories,Health Care,Q2,2025,2024,0.659537,,0.659537,-0.185985,,-0.034105,ok,,2026-04-07T00:12:03Z,partial
MMM,3M,Industrials,Q2,2025,2024,0.680771,0.922836,0.777597,-0.095402,1.010408,0.539649,ok,,2026-04-07T00:12:03Z,complete
ABBV,AbbVie,Health Care,Q2,2025,2024,0.958163,,0.958163,1.087933,,1.417172,ok,,2026-04-07T00:12:08Z,partial
ACN,Accenture,Information Technology,Q2,2025,2024,0.942341,0.789914,0.88137,1.020437,0.578151,1.04397,ok,,2026-04-07T00:12:09Z,complete
ADBE,Adobe Inc.,Information Technology,Q2,2025,2024,0.434141,0.92053,0.628697,-1.147509,1.002909,-0.183982,ok,,2026-04-07T00:12:11Z,complete
AMD,Advanced Micro Devices,Information Technology,Q2,2025,2024,0.83297,0.911322,0.86431,0.553868,0.972965,0.961061,ok,,2026-04-07T00:12:13Z,complete
AES,AES Corporation,Utilities,Q2,2025,2024,0.818682,0.749049,0.790829,0.492917,0.445259,0.603954,ok,,2026-04-07T00:12:15Z,complete
AFL,Aflac,Financials,Q2,2025,2024,0.932194,0.125214,0.609402,0.977151,-1.583429,-0.277753,ok,,2026-04-07T00:12:16Z,complete
A,Agilent Technologies,Health Care,Q2,2025,2024,0.938225,0.903069,0.924163,1.002879,0.946127,1.251937,ok,,2026-04-07T00:12:18Z,complete
APD,Air Products,Materials,Q2,2025,2024,0.97886,0.564772,0.813225,1.176225,-0.154003,0.712796,ok,,2026-04-07T00:12:21Z,complete
ABNB,Airbnb,Consumer Discretionary,Q2,2025,2024,0.130359,0.938651,0.453676,-2.443422,1.061838,-1.034558,ok,,2026-04-07T00:12:22Z,complete
AKAM,Akamai Technologies,Information Technology,Q2,2025,2024,0.220404,0.91379,0.497758,-2.059296,0.980991,-0.820326,ok,,2026-04-07T00:12:24Z,complete
ALB,Albemarle Corporation,Materials,Q2,2025,2024,0.744682,0.092113,0.483654,0.177238,-1.691072,-0.888869,ok,,2026-04-07T00:12:26Z,complete
ARE,Alexandria Real Estate Equities,Real Estate,Q2,2025,2024,0.430563,0.41395,0.423918,-1.162772,-0.64447,-1.179177,ok,,2026-04-07T00:12:27Z,complete
ALGN,Align Technology,Health Care,Q2,2025,2024,0.720828,0.814326,0.758228,0.075478,0.657538,0.445519,ok,,2026-04-07T00:12:30Z,complete
ALLE,Allegion,Industrials,Q2,2025,2024,0.790054,0.787226,0.788923,0.370792,0.56941,0.594692,ok,,2026-04-07T00:12:32Z,complete
LNT,Alliant Energy,Utilities,Q2,2025,2024,0.884544,0.83347,0.864114,0.773879,0.719793,0.960108,ok,,2026-04-07T00:12:34Z,complete
ALL,Allstate,Financials,Q2,2025,2024,0.940351,0.56712,0.791058,1.011948,-0.146367,0.605067,ok,,2026-04-07T00:12:36Z,complete
GOOGL,Alphabet Inc.(Class A),Communication Services,Q2,2025,2024,0.104089,0.342391,0.19941,-2.555488,-0.877177,-2.270252,ok,,2026-04-07T00:12:37Z,complete
GOOG,Alphabet Inc.(Class C),Communication Services,Q2,2025,2024,0.104089,0.342391,0.19941,-2.555488,-0.877177,-2.270252,ok,,2026-04-07T00:12:40Z,complete
MO,Altria,Consumer Staples,Q2,2025,2024,0.779834,0.812057,0.792723,0.327194,0.650159,0.613159,ok,,2026-04-07T00:12:41Z,complete
AMZN,Amazon,Consumer Discretionary,Q2,2025,2024,0.922284,0.986326,0.947901,0.934876,1.216875,1.3673,ok,,2026-04-07T00:12:42Z,complete
AMCR,Amcor,Materials,Q2,2025,2024,0.535817,0.367534,0.468504,-0.713766,-0.795413,-0.962496,ok,,2026-04-07T00:12:45Z,complete
AEE,Ameren,Utilities,Q2,2025,2024,0.934088,0.869394,0.908211,0.985231,0.836617,1.174413,ok,,2026-04-07T00:12:46Z,complete
AEP,American Electric Power,Utilities,Q2,2025,2024,0.198628,0.179,0.190777,-2.152191,-1.408519,-2.312207,ok,,2026-04-07T00:12:48Z,complete
AXP,American Express,Financials,Q2,2025,2024,0.749427,0.736534,0.74427,0.19748,0.404561,0.377685,ok,,2026-04-07T00:12:49Z,complete
AIG,American International Group,Financials,Q2,2025,2024,0.844331,0.487676,0.701669,0.602334,-0.404716,0.17065,ok,,2026-04-07T00:12:52Z,complete
AMT,American Tower,Real Estate,Q2,2025,2024,0.190952,0.694614,0.392417,-2.184936,0.268239,-1.332267,ok,,2026-04-07T00:12:57Z,complete
AWK,American Water Works,Utilities,Q2,2025,2024,0.934661,0.741,0.857197,0.987675,0.419084,0.926493,ok,,2026-04-07T00:12:57Z,complete
AME,Ametek,Industrials,Q2,2025,2024,0.644579,,0.644579,-0.249795,,-0.106798,ok,,2026-04-07T00:13:03Z,partial
